,STT,Tên báo cáo,Đơn vị,Trích yếu,Thời gian gửi,Mã doanh nghiệp,Tên công ty,Tiêu đề,Saving_path
57,58,Báo cáo tài chính Riêng năm 2019,CTCP Nhựa An Phát Xanh,AAA.Báo cáo tài chính riêng năm 2019,23/03/2020 10:25:39,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng năm 2019,./crawl_table/AAA/AAA.Báo cáo tài chính riêng năm 2019_23_03_2020 10_25_39
58,59,Báo cáo tài chính Hợp nhất năm 2019,CTCP Nhựa An Phát Xanh,AAA. Báo cáo tài chính hợp nhất năm 2019,23/03/2020 10:07:29,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất năm 2019,./crawl_table/AAA/AAA. Báo cáo tài chính hợp nhất năm 2019_23_03_2020 10_07_29
59,60,Báo cáo tài chính Hợp nhất quý IV/ 2019,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý IV năm 2019,30/01/2020 09:11:43,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý IV/ 2019,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý IV năm 2019_30_01_2020 09_11_43
60,61,Báo cáo tài chính Mẹ quý IV/ 2019,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý IV năm 2019,30/01/2020 09:08:37,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ quý IV/ 2019,./crawl_table/AAA/Báo cáo tài chính riêng quý IV năm 2019_30_01_2020 09_08_37
61,62,Báo cáo tài chính Riêng quý III/ 2019,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý 3 năm 2019,28/10/2019 13:46:02,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý III/ 2019,./crawl_table/AAA/Báo cáo tài chính riêng quý 3 năm 2019_28_10_2019 13_46_02
62,63,Báo cáo tài chính Hợp nhất quý III/ 2019,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý 3 năm 2019,28/10/2019 13:22:09,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý III/ 2019,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý 3 năm 2019_28_10_2019 13_22_09
63,64,Báo cáo tài chính Riêng bán niên 2019,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban Chứng khoán nhà nước báo cáo tài chính bán niên riêng năm 2019 đã được soát xét.,29/08/2019 16:41:36,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng bán niên 2019,./crawl_table/AAA/Báo cáo tài chính Riêng bán niên 2019_29_08_2019 16_41_36
64,65,Báo cáo tài chính Hợp nhất bán niên 2019,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban chứng khoán nhà nước báo cáo tài chính bán niên hợp nhất năm 2019 đã được soát xét.,29/08/2019 16:27:08,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất bán niên 2019,./crawl_table/AAA/Báo cáo tài chính Hợp nhất bán niên 2019_29_08_2019 16_27_08
65,66,Báo cáo tài chính Riêng quý II/ 2019,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban chứng khoán nhà nước Báo cáo tài chính riêng quý II năm 2019.,29/07/2019 16:38:08,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý II/ 2019,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban chứng khoán nhà nước Báo cáo tài chính riêng quý II năm 2019._29_07_2019 16_38_08
66,67,Báo cáo tài chính Hợp nhất quý II/ 2019,CTCP Nhựa An Phát Xanh,Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban chưng khoán nhà nước Báo cáo tài chính hợp nhất quý II năm 2019.,29/07/2019 16:33:50,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý II/ 2019,./crawl_table/AAA/Công ty Cổ phần Nhựa An Phát Xanh (AAA) kính gửi Ủy ban chưng khoán nhà nước Báo cáo tài chính hợp nhất quý II năm 2019._29_07_2019 16_33_50
67,68,Báo cáo tài chính Hợp nhất quý I/ 2019,CTCP Nhựa An Phát Xanh,AAA. Báo cáo tài chính hợp nhất quý 1 năm 2019,26/04/2019 13:58:06,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý I/ 2019,./crawl_table/AAA/AAA. Báo cáo tài chính hợp nhất quý 1 năm 2019_26_04_2019 13_58_06
68,69,Báo cáo tài chính Riêng quý I/ 2019,CTCP Nhựa An Phát Xanh,AAA. Báo cáo tài chính riêng quý 1 năm 2019,26/04/2019 11:39:07,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý I/ 2019,./crawl_table/AAA/AAA. Báo cáo tài chính riêng quý 1 năm 2019_26_04_2019 11_39_07
69,70,Báo cáo tài chính Riêng năm 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng năm 2018,15/03/2019 16:59:04,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng năm 2018,./crawl_table/AAA/Báo cáo tài chính riêng năm 2018_15_03_2019 16_59_04
70,71,Báo cáo tài chính Hợp nhất năm 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất năm 2018,15/03/2019 16:31:05,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất năm 2018,./crawl_table/AAA/Báo cáo tài chính hợp nhất năm 2018_15_03_2019 16_31_05
71,72,Báo cáo tài chính Mẹ quý IV/ 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Công ty mẹ quý IV năm 2018,30/01/2019 15:52:14,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ quý IV/ 2018,./crawl_table/AAA/Báo cáo tài chính Công ty mẹ quý IV năm 2018_30_01_2019 15_52_14
72,73,Báo cáo tài chính Hợp nhất quý IV/ 2018,CTCP Nhựa An Phát Xanh,29.01.2019. Báo cáo tài chính hợp nhất quý IV năm 2018,30/01/2019 10:13:02,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý IV/ 2018,./crawl_table/AAA/29.01.2019. Báo cáo tài chính hợp nhất quý IV năm 2018_30_01_2019 10_13_02
73,74,Báo cáo tài chính Hợp nhất quý III/ 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất quý III năm 2018,29/10/2018 12:55:09,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất quý III/ 2018,./crawl_table/AAA/Báo cáo tài chính hợp nhất quý III năm 2018_29_10_2018 12_55_09
74,75,Báo cáo tài chính Riêng quý III/ 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng quý III năm 2018,29/10/2018 12:45:59,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Riêng quý III/ 2018,./crawl_table/AAA/Báo cáo tài chính riêng quý III năm 2018_29_10_2018 12_45_59
75,76,Báo cáo tài chính Hợp nhất bán niên 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính hợp nhất 6 tháng đầu năm 2018,16/08/2018 12:27:40,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Hợp nhất bán niên 2018,./crawl_table/AAA/Báo cáo tài chính hợp nhất 6 tháng đầu năm 2018_16_08_2018 12_27_40
76,77,Báo cáo tài chính Mẹ bán niên 2018,CTCP Nhựa An Phát Xanh,Báo cáo tài chính riêng 6 tháng đầu năm 2018,15/08/2018 17:16:02,0800373586,CTCP Nhựa An Phát Xanh,Báo cáo tài chính Mẹ bán niên 2018,./crawl_table/AAA/Báo cáo tài chính riêng 6 tháng đầu năm 2018_15_08_2018 17_16_02
